Species,CO2_age,Organ
A. rubrum,1.5,Stem
A. Rubrum,0,Stem
A. Rubrum,3.4,Stem
A. Rubrum,7.3,Stem
Populus tremula,0.2,Fine roots
Populus tremula,0.6,Coarse roots
Populus tremula,1.3,Coarse roots
Populus tremula,1.1,Fine roots
Populus tremula,2.9,Fine roots
Populus tremula,1.6,Coarse roots
Simarouba amara,2.5,Stem
Simarouba amara,3.3,Stem
Simarouba amara,3.3,Stem
Simarouba amara,3.5,Stem
Tachigali paniculata,2,Stem
Tachigali paniculata,2,Stem
Tachigali paniculata,4,Stem
Tachigali paniculata,5,Stem
Hymenolobium pulcherrimum,4.5,Stem
Hymenolobium pulcherrimum,4,Stem
Hymenolobium pulcherrimum,18.3333333333333,Stem
Hymenolobium pulcherrimum,18,Stem
,,Stem
Scleronema micranthum,1,Stem
Scleronema micranthum,14,Stem
Scleronema micranthum,6,Stem
Scleronema micranthum,12,Stem
,4,Roots
D. microcarpa,5,Stem
D. microcarpa,3,Stem
O. Leucoxylon,2.5,Stem
O. Leucoxylon,5,Stem
S.guianensis,3,Stem
A. rubrum,2.9,Whole tree
A. rubrum,10,Whole tree
A. rubrum,21,Whole tree
P. taeda,2.4,Whole tree
P. taeda,5,Whole tree
P. taeda,13,Whole tree
P. Halogensis,0.5,Whole tree
,4,Whole tree
